Polyprion americanus,"Atlantischer Wrackbarsch, Wrackbarsch, Wrackfisch",,Fish4life
Pomatomus saltatrix,"Blaubarsch, Blaufisch",,Fish4life
Pseudocaranx dentex,Zahn-Makrele,,Fish4life
Ruditapes decussatus,N/A,,
Sarda sarda,"Bonito, Pelamide, Unechter Bonito",,Fish4life
Sardina pilchardus,"Pilchard, Sardine",,Fish4life
Sardinella aurita,Sardinelle,,Fish4life
Sardinella maderensis,Madeira-Sardinelle,,Fish4life
Sarpa salpa,"Goldstrieme, Salpe",,Fish4life
Scomber japonicus,"Blasenmakrele, Japanische Makrele, Mittelmeer-Makrele, Mittelmeermakrele, Spanische Makrele, Thunmakrele",,Fish4life
Scomber scombrus,"Atlantische Makrele, Gemeine Makrele, Makrele",,Fish4life
Scophthalmus maximus,Steinbutt,,Fish4life
Scyllarides latus,Grosser Bärenkrebs,,
Sepia officinalis,"Gemeiner, Gemeiner tintenfisch, Sepie, Tintenfisch",,Fish4life
Seriola dumerili,"Bernstein-Stachelmakrele, Bernsteinfisch, Grünel",,Fish4life
Siganus luridus,Brauner Kaninchenfisch,,Fish4life
Siganus rivulatus,Rotmeer-Kaninchenfisch,,Fish4life
Solea sole?,"Seezunge, Zunge",,Fish4life
Sparisoma cretense,"Papageifisch, Seepapagei",,Fish4life
Sphyraena sphyraena,"Barracuda, Europäischer Barrakuda, Gemeiner Pfeilhecht, Mittelmeerbarrakuda, Pfeilhecht",,Fish4life
Sphyraena viridensis,Gebänderter Barrakuda,,Fish4life
Spicara maena,"Laxierfisch, Pikarelle, Schnauzenbrassen",,Fish4life
Spicara smaris,"Schnauzen-Pikarelle, Smaris",,Fish4life
Spisula subtruncata,Gedrungene Trogmuschel,,
Spondyliosoma cantharus,"Seekarpfe, Seekarpfen, Streifenbrasse, Streifenbrassen",,Fish4life
Sponylus gaederopus,N/A,,
Squatina spp,N/A,,
Thais haemastoma,"Purpurschnecke, Rotmund Maulbeere",,
Thunnus alalunga,"Germon, Langflossenthun, Thunfisch, Weißer Thun",,Fish4life
Tonna galea,"Große Fassschnecke, Große Tonnenschnecke",,
Trachinotus ovatus,"Bläuel, Dreipunkt-Langflossen-Stachelmakrele, Palometa",,Fish4life
Trachurus picturatus,Blaue Bastardmakrele,,Fish4life
Uranoscopus scaber,"Himmelsgucker, Sterngucker",,Fish4life
Venerus spp,N/A,,
Xiphias gladius,Schwertfisch,,Fish4life
Charonia tritonis,Tritonshorn,,
Paracentrotus lividus,Steinseeigel,,Fish4life
Trachurus mediterraneus,"Mittelmeer-Bastardmakrele, Mittelmeer-Stöcker",,Fish4life
Scomber colias,Mittelmeermakrele,,Fish4life
Sparus aurata,"Dorade, Dorade Royal, Gemeine Goldbrasse, Goldbrasse, Goldkopf",,Fish4life
Trachurus trachurus ,"Bastardmakrele, Holzmakrele, Stöcker, Stöker",,Fish4life
Thunnus thynnus,"Atlantischer Thunfisch, Blauflossen Thun, Großer Thun, Roter Thun, Thune, Thunfisch",,Fish4life
Xyrichtis novacula,Schermesserfisch,,Fish4life
Scorpaena porcus,"Brauner Drachenkopf, Kleine Meersau",,Fish4life
Scorpaena scrofa,"Große Meersau, Großer Drachenkopf, Großer Roter Drachenkopf, Meersau, Roter Drachenkopf",,Fish4life
Conger conger,"Conger, Congeraal, Gemeiner Meeraal, Meeraal",,Fish4life
Trachinus draco,"Gewöhnliches Petermännchen, Großes Petermännchen, Petermännchen, Stachelfisch",,Fish4life
Lophius piscatorius,"Angler, Froschfisch, Seeteufel",,Fish4life
Lophius budegassa,Kleiner Seeteufel,,Fish4life
Lichia amia,"Gabelmakrele, Lichia, Große Gabelmakrele, Große gabelmakrele, Stachelmakrele ",,Fish4life
Serranus scriba,Schriftbarsch,,Fish4life
Serranus cabrilla,"Blutstriemen, Sägebarsch, Schriftbarsch, Ziegenbarsch",,Fish4life
Sciaena umbra,"Meerrabe, Seerabe",,Fish4life
Octopus vulgaris,"Gemeiner krake, Gewöohnlicher krake, Krake, Pulpo",,Fish4life
Coryphaena hippurus,"Gemeine Goldmakrele, Goldmakrele",,Fish4life
Penaeus Kerathurus,Furchenkrebs,,Fish4life
Fistularia commersonii ,Flötenfisch,,Fish4life
Pterois miles ,Rotfeuerfisch,,Fish4life
Parupeneus forsskali ,Rotmeer-Barbe,,Fish4life
Sphyraena chrysotaenia ,Stumpfer Barrakuda,,Fish4life
Hemiramphus far ,"Gefleckter Halbschnäbler, Halbschnäbler",,Fish4life
Saurida lessepsianus,N/A,,Fish4life
Stephanolepis diaspros ,Feilenfisch,,Fish4life
Sargocentron rubrum ,Gestreifter Soldatenfisch,,Fish4life
Planiliza haematocheilus,N/A,,Fish4life
Atherinomorus forskalii ,N/A,,Fish4life
Scarus ghobban ,N/A,,Fish4life
Scomberomorus commerson,"Indische Königsmakrele, Spanische Makrele",,Fish4life
Upeneus pori ,N/A,,Fish4life
Alepes djedaba,N/A,,Fish4life
Lagocephalus sceleratus,N/A,,Fish4life
Sepioteuthis lessoniana,N/A,,Fish4life
Pempheris rhomboidea,N/A,,Fish4life
Callinectes sapidus,Blaue Schwimmkrabbe,,Fish4life
Diadema setosum ,N/A,,Fish4life
