"Scientific.Name","NAMES.FROM.FISHBASE","EXPERT.NAME","X","cat","dan","deu","ell","eng","fra","gla","gle","ita","nld","nno","nob","por","spa","sqi","swe","ces","cym","fin","hun","mkd","mlt","pol","ron","slv","srp","tur","bre","heb","nor","rus","ukr","ara","eus","hrv","lit","jpn","vie","isl","cos","glg","oci","sme","bul","slk","wol","NA","tah","afr","fij","kor","msa","sin","smo","som","tam","tgl","zho"
"Cetorhinus maximus","Mandelhai, Reuzenhai, Riesenhai",NA,"",NA,"Brugde","Mandelhai",NA,"Basking Shark","Pelerin",NA,"An liamhán gréine","Squalo elefante","Reuzenhaai","brugde","brugde","Tubarâo-frade","Colayo","Peshkagen shtegtar","Brugd",NA,"Heulgwn","Jättiläishai",NA,NA,"Gabdoll","Dlugoszpar a. rekin gigantyczny",NA,NA,NA,"Büyük camgöz",NA,NA,"Brugde","akula gigantakaia",NA,NA,NA,NA,NA,"bakazame",NA,"Beinhákarl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chamellea gallina","N/A",NA,"","rossellona",NA,"Gemeine Venusmuschel","Χάβαρο","Striped Venus Clam","galinette",NA,NA,NA,"gestreepte venusschelp",NA,NA,NA,"chirla","venusi me shirita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dentex dentex","Zahnbrasse",NA,"","déntol",NA,"Zahnbrasse","Συναγρίδα","Common dentex","Denti",NA,NA,"Dentice","tandbrasem",NA,NA,NA,"Dentón","Dentali","tandbraxen",NA,"Merfogiaid Ysgithrog",NA,NA,NA,"Denci","Kielec wlasciwy","Dintos","zobatec",NA,"Sinarit",NA,"שינן הניבים",NA,"Зубан обыкновенный","Зубан звичайний",NA,"txelba hortzandia","zubatac",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dentex gibbosus","Dickkopf-Zahnbrasse",NA,"Fish4life",NA,NA,"Dickkopf-zahnbrasse","Τσαούσης","Pink dentex","Denté bossu, Gros denté rose",NA,NA,"Dentice corazziere","bultige tandbrasem",NA,NA,"Capatão-de-bandeira","Dentón","Ballori",NA,NA,NA,NA,NA,NA,"Denci","Kielec garbacz",NA,NA,NA,"tranca",NA,"שינן החוט",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dentex macrophthalmus","Gro�augen-Zahnbrasse, Gro�augenzahnbrasse",NA,"Fish4life",NA,NA,"Großaugen-Zahnbrasse","Μπαλάς","Large-eye dentex","Daurade à Gros Yeux",NA,NA,"Dentice occhione",NA,NA,NA,"Cachucho","Cachocho","Dentali symadh",NA,NA,NA,NA,NA,NA,"Denci ta' l-ghajn","Kielczak wielkooki","Dentex cu ochi mari",NA,"Rumeni","Irigöz singrit",NA,"שינן עינני",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dicentrarchus labrax","Gemeiner Seebarsch, Gemeiner Wolfsbarsch, Meerbarsch, Salmbarsch, Seebarsch, Seewolf, Wolfsbarsch",NA,"Fish4life",NA,"Bars","Europäischer Wolfsbarsch",NA,"Capemouth","Bar",NA,"An bhas","Baicolo","Europese zeebaars",NA,NA,"Robalo","Baieta","Levreku","Havsabborre",NA,"Draenogiaid Môr","Meribassi",NA,NA,"Lupu","Labraks","Biban de mare","Brancin","Kanjci","Bayağı levrek",NA,NA,"Havabbor",NA,NA,"Birrâq",NA,NA,NA,NA,NA,"Vartari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplodus annularis","Ringelbrasse",NA,"Fish4life","esparrall","ringhavrude","Ringelbrasse","Σπάρος","Annular bream","Sargue",NA,NA,"Sparaglione",NA,NA,NA,"Sargo-alcorraz","Raspallón","Sargu bishtzi","svartstjärtad Havsruda",NA,NA,NA,NA,NA,"Sparlu","Prazma","Sparos","Spar","Spar","isparoz",NA,NA,NA,"Ласкирь","Ласкир",NA,"muxar buztanbeltz","špar",NA,NA,NA,NA,"spirlettu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplodus puntazzo","Spitzbrasse",NA,"Fish4life","auradeta",NA,"Spitzbrasse","oύγαινα","Porgy","Sar Tambour",NA,NA,"moruta","spitssnuitzeebrasem",NA,NA,NA,"sargo picudo","sharani",NA,NA,NA,NA,NA,NA,"moghza","dubiel","hiena mării","pic","pic","sivriburun karagoz","sar begek","חודון אזור",NA,"Зубарик полосатый","Зубарик звичайний",NA,"akermurxar","pic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplodus sargus","Bindenbrasse, Gei�brasse",NA,"Fish4life","sarg","Sorthale","Geißbrasse","Σαργός","White seabream","Sar commun",NA,NA,"sarago","witte ringbrasem",NA,NA,"sargo","sargo","sargu i bardhë","svartstjärtad havsruda",NA,NA,"isosargi",NA,NA,"sargu komuni","sargus","sparos cu coada neagra","šarg","fratar","sargoz","sar boutin","סרגוס מסורטט",NA,"Морской карась полосатый","Морський карась білий",NA,"muxar handi","šarag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplodus vulgaris","Gemeiner Gei�brassen,Zweibindenbrasse",NA,"Fish4life","variada",NA,"Zweibindenbrasse","Καμπανάς","Blacktail Bream","Sar",NA,NA,"Sarago testa nera","geringde zeebrasem",NA,NA,"Sargo-safia","Sargo","Sargua",NA,NA,NA,NA,NA,NA,"Sargu","Amarel","Sparos negru","Fratrc","sarag","Karagoz","sar penn du","סרגוס כתפי",NA,"Морской карась обыкновенный","Морський карась звичайний",NA,"muxarra","fratar",NA,NA,NA,NA,NA,"chaparela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donax trunculus","N/A",NA,"",NA,NA,"Gestutzte Dreiecksmuschel","Κίτρινο κοχύλι","truncate donax","flion tronqué",NA,NA,NA,"stomp zaagje",NA,NA,NA,NA,"midhja buzësharrë",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dosinia exoleta","Artemismuschel",NA,"",NA,"Dosiniamusling","Artemismuschel","Στρογγυλή αχιβάδα","Rayed Artemis",NA,NA,NA,"lupino","artemisschelp","sirkelskjel","sirkelskjell",NA,NA,NA,"större rundmussla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"reló",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Engraulis encrasicolus","Anchovis, Europ�ische Sardelle, Sardelle",NA,"Fish4life","aladroc","Ansjos","Anchovis",NA,"Anchovy Paste","Amplovo",NA,NA,"Acciuga","Ansjovis","ansjos","ansjos","Biqueirao","Anchoa","Açuga","Sardell",NA,"Brwyniaid","Sardelli",NA,NA,"Incova (adult)",NA,"Hamsia","Sardon","Brgljun","Hamsi",NA,NA,"Ansjos",NA,NA,NA,NA,NA,NA,NA,NA,"Ansjósa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epinephelus aeneus","Wei�er Zackenbarsch",NA,"Fish4life","anfós blanc",NA,"weißer Zackenbarsch","Σφυρίδα","White grouper","Mérou",NA,NA,"Cernia bronzina","witte grouper",NA,NA,"Garoupa verde","Cherna de ley","Kern i bardhe",NA,NA,NA,NA,NA,NA,"Dott tal-faxxi","Granik szary","Epinefel de arama",NA,"Kirnja","Lahoz",NA,"דקר המכמורת",NA,"белый морской окунь","Групер",NA,NA,NA,"baltadryžis gruperis:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epinephelus caninus","Hundezahn-Zackenbarsch",NA,"",NA,NA,"Hundezahn-Zackenbarsch","Βλαχοσφυρίδα","Dogtooth grouper","Mérou gris",NA,NA,"Cernia nera","grijze grouper",NA,NA,"Mero-gigante","Cachorro","Kern i hirte",NA,NA,NA,NA,NA,NA,"Dott abjad",NA,NA,NA,NA,"orfoz",NA,NA,NA,"розовый каменный окунь",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epinephelus costae","Alexanderbarsch, Gestreifter Zackenbarsch",NA,"Fish4life","anfós bord",NA,"Spitzkopf-Zackenbarsch","stira","Goldblotch grouper","Badèche",NA,NA,"Cernia dorata",NA,NA,NA,NA,"Falso abade",NA,NA,NA,NA,NA,NA,NA,NA,"Granik smugowy",NA,NA,NA,"altın benekli lahoz",NA,"דקר אלכסנדרוני",NA,"александрийский мероу",NA,NA,NA,"kirnja zlatica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epinephelus marginatus","Brauner Zackenbarsch, Brauner Zackenbarsch, Gro�er S�gebarsch, Riesen-Zackenbarsch, Riesen-Zackenbarsch.",NA,"Fish4life","anfós",NA,"Riesen-Zackenbarsch","Ροφός","Dusky grouper","Cabot noir",NA,NA,"Cernia","Tandbaars",NA,NA,"Garoupa-verdadeira","Mero moreno",NA,"brun havsabborre",NA,NA,"Tummameriahven",NA,NA,"Cerna","Granik wielki","Epinefel gigant","kirnja","Kirnja","orfoz",NA,"דקר הסלעים",NA,"бурый групер",NA,NA,NA,NA,NA,NA,NA,NA,"lucerna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Euthynnus alletteratus","Falscher Bonito, Kleiner Thun, Thonine",NA,"Fish4life",NA,"Almindelig thunnin","Falscher bonito","Karvouni","Atlantic Black Skipjack","Bonite",NA,NA,"Alacurza",NA,NA,NA,"Albacora","Atuncito",NA,NA,NA,"Tiwnaod Bach",NA,NA,NA,"Kubrit",NA,"Ton mic","Pegasti tun","Karvoúni",NA,NA,NA,NA,"Atlanticheskyj Malyj Tunets",NA,"Balamydah",NA,"Luc",NA,"Tainhota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flexopecten glaber","N/A",NA,"",NA,NA,"Glatte Kammmuschel","Γυαλιστερό χτένι","bald scallop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galeorhinus galeus","Australischer Hundshai, Beithai, Gemeine Meersau, Gro�er Hundshai, Schulhai",NA,"",NA,"Almindelig gråhaj","Australischer Hundshai",NA,"Hundshai","Cagnot",NA,NA,"Can Negro","Australische haai",NA,NA,"Cacao Tope","Aceitero","Peshk qen","Bethaj",NA,"Cwn Glas","Harmaahai",NA,NA,"Kelb il-bahar",NA,"Rechin de supa",NA,"Pas butor","Camgöz baligi",NA,NA,"Gråhai",NA,NA,NA,NA,NA,NA,NA,NA,"Gráháfur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gari depressa","N/A",NA,"",NA,NA,"Flache Sandmuschel","Έσπερος","flat sunsetclam",NA,NA,NA,NA,"ovale zonneschelp",NA,NA,NA,NA,NA,"större solnedgångsmussla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haliotis tuberculata","Gemeines Seeohr, Gr�nes Seeohr, Seeohr",NA,"","greixereta",NA,"Gemeine Abalone",NA,"European edible abalone","orcille de mer",NA,NA,"orecchia marina","gewone zeeoor",NA,NA,"orelha","oreja de mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"セイヨウトコブシ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heptranchias perlo","Aschfarbener Siebenspalthai, Kammz�hner, Perlon, Siebenkiemiger Kammz�hner, Spitzkopf-Siebenkiemenhai, Spitzkopfsiebenkiemer",NA,"",NA,NA,"Aschfarbener siebenspalthai","Επτακαρχαρίας","Seven-gill shark","Monge gris",NA,NA,"Angiolo","spitssnuitzevenkieuwshaai","sjugjellehai","sjugjellehai","Tubarão-de-sete-guelras","Boca dolça","Peshkagen me dhembe",NA,NA,NA,"Kapeapäähai",NA,NA,"Morruna","siedmioszpar spiczastogłowy",NA,NA,"Pas glavonja","boz camgoz",NA,"שבע-זים",NA,"пепельная семижаберная акула","Акула семижаберна гостроноса",NA,NA,NA,"pilkasis septynžiaunis ryklys","エドアブラザメ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homarus gammarus","N/A",NA,"Fish4life","llamàntol","Hummer","Europäischer Hummer","astakós","Common Lobster","Homard européen (Le), Homard breton (Le), Astice (L'), Homard (Le), Saratane (La)",NA,NA,"astice","Europese kreeft","europahummar","europahummer","labugante","abacanto","gaforrja e madhe europiane","europeisk hummer",NA,NA,NA,NA,NA,"liunfant",NA,NA,NA,NA,"istakoz","Legestr, Legrest",NA,"hummer","omar",NA,"saratan il bahr","Abakandoa, Homara",NA,NA,"ヨーロッパロブスター",NA,NA,NA,"lumbrigante","Lingoumbaou, Lingumbau, Llangan, Llangaou, Llomantol, Lorman","hummar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lamna nasus","Heringshai",NA,"Fish4life",NA,"Almindelig sildehaj","Heringshai",NA,"(common) Atlantic mackerel shark","Requin taupe, Taupe",NA,"An craosaire","Smeriglio","Neushaai",NA,NA,"Tubarâo-sardo","Cailón","Tonil","Håbrand",NA,"Corgwn Môr","Sillihai",NA,NA,"Pixxiplamptu","Zarlacz sledziowy","Rechinul scrumbiilor","atlantski morski pes","Kucina","Dikburun karkarias",NA,NA,"Håbrand","akula sel devaia",NA,NA,NA,NA,"atlantinis silkiaryklis",NA,NA,"Hámeri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithognathus mormyrus","Marmorbrasse",NA,"Fish4life",NA,NA,"Marmorbrasse","Μουρμούρα","Sand Steenbras","Dorade Marbré",NA,NA,"Mormora","marmerbaars",NA,NA,"Ferreira","Herrera","Murra",NA,NA,NA,NA,NA,NA,"Ajula","Morlesz pregowany",NA,"Ovčica","Ovcica","Cizgili mercan",NA,"שישן מסורטט",NA,"Атлантический землерой","Атлантичний землерій",NA,NA,"Oveica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithophaga lithophaga","Dattelmuschel, Seedattel, Steindattel",NA,"",NA,NA,"Dattelmuschel","Βάλανος","European date mussel","Datte de mer",NA,NA,"dattero di mare","Europese dadelmossel",NA,NA,NA,"dátil de mar","midhja hurmë",NA,NA,NA,NA,NA,NA,NA,NA,NA,"morski datelj",NA,"deniz midyesi",NA,NA,"daddelmusling","или морской финик","Морський фіник звичайний",NA,NA,NA,"akmengraužis",NA,NA,NA,NA,NA,NA,NA,"mаlak kаmenoprobivаch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Loligo vulgaris","Europ�lscher Langflossenkalmar",NA,"Fish4life","calamar","Europæisk loligo","Gemeiner Kalmar","Καλαμάρι","Cape Hope squid","Encornet","scuid",NA,"calamaro","gewone pijlinktvis",NA,"sørkalmar","lula-comum","calamar","kallamari","sydkalmar","krakatice",NA,"kalmari",NA,NA,NA,"kałamarnice","calmar","lignji",NA,"kalamar",NA,NA,NA,"kalmar",NA,NA,"txipiroiak",NA,NA,NA,NA,"smokkfiskur",NA,"lura txibia",NA,NA,NA,"kalmáry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Merluccius merluccius","Europ�ischer Seehecht, Hechtdorsch, Seehecht",NA,"Fish4life",NA,"Europæisk kulmule","Europäischer Seehecht",NA,"Cornish Salmon","Abadioa",NA,"An colmóir","Merluzzo","Europese heek",NA,NA,"Marmota","Alambolo","Merluci","Kummel",NA,"Cegdduon","Kummeliturska",NA,NA,"Marloz","Morszczuk","Merluciu european","Oslič","Oslic","Berlam",NA,NA,"Lysing",NA,NA,NA,NA,NA,NA,NA,NA,"Lýsingur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micromesistius poutassou","Blauer Wittling, Stockfisch",NA,"Fish4life","bacallaret","Blåhvilling","Blauer Wittling",NA,"Blue Whiting","Gros poutassou",NA,NA,"Melu","Blauwe wijting","blåkviting","blåhvitting","Bacalhau","Bacaladilla","Lakuriq","Blåvitling",NA,"Swtanod Glas","Mustakitaturska",NA,NA,"Marlozz","Blekitek","Merlan albastru","Sinji mol","Pucinca","Bakalyaro",NA,NA,"Blagunnar",NA,NA,NA,"bakalada",NA,NA,NA,NA,"Kolmunni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitra zonata","N/A",NA,"",NA,NA,"Breitgebänderte Mitra","Δίχρωμη μήτρα","zoned miter",NA,NA,NA,"mitra zonata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Modiolus barbatus","N/A",NA,"",NA,NA,"Bartige Miesmuschel","Αγριόμυδο","Bearded Horse-mussel","modiole barbue",NA,NA,NA,"baardmossel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mugil cephalus","Flachkopf-Meer�sche, Gemeine Meer�sche, Gestreifte Meer�sche, Gew�hnliche Meer�sche, Gro�kopf, Gro�kopf-Meer�sche, Grossk�pfige Meer�sche, Harder",NA,"Fish4life","Cap Pla",NA,"Gemeine Meeräsche","Cephalos","Black Mullet","Cabot",NA,NA,"Baldigare","Diklipharder",NA,NA,"Cagarraz","Albur",NA,"Grå multe",NA,NA,NA,NA,NA,NA,NA,"Chefal","Glavati cipelj","Cipal glavas","Avrita baliği",NA,NA,NA,NA,NA,"Anubah",NA,"Cipal bataš",NA,"Bora","Cá Dối Mục",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mullus barbatus","Meerbarbe, Rotbarbe, Rote Meerbarbe",NA,"Fish4life","moll","Rød mulle","Meerbarbe","Barbouni","Blunt-snouted Mullet","Rouget barbet",NA,NA,"Barbon","gewone zeebarbeel","raudmulle",NA,"Salmonete","Salmonete de fango","Barbuni",NA,NA,NA,NA,NA,NA,"Trilja","barbata",NA,"Bradač",NA,"Barbunya baliği","ardilon",NA,NA,NA,NA,"Sorzo","lohietako barbarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mullus surmuletus","Gestreifte Meerbarbe, Meerbarbe, Streifenbarbe",NA,"Fish4life","moll borratxo","Stribet mulle","Meerbarbe",NA,"Red Stripped Mullet","Rouget Barbet",NA,"An milléad dearg","Triglia","Koning van de poon","mulle","mulle","Ovas secas","Salmonete","Barbuni i shkembit","Gulstrimmig mullus",NA,"Mingrynion","Keltajuovamullo",NA,NA,"Trilja","Barwena","Barbun vargat","Progasti bradač","Trlje","Barbunya",NA,NA,"Mulle",NA,NA,NA,"belberiña",NA,NA,NA,NA,"Sæskeggur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus asterias","Gefleckter Hundshai, Glatthai, N�rdlicher Glatthai, Wei�gefleckter Glatthai",NA,"",NA,"Glathaj","Glatthai","Αστρογαλέος","Smooth-hound","Emissole tachetée",NA,"An scoirneach ballach","Palombo stellato","Gladde haai","kvitflekka glatthai","hvitflekket glatthai","Cação-pintado","Boca blanca","Palomb","Nordlig hundhaj",NA,"morgi llyfn",NA,NA,NA,"Mazzola","mustel gwiaździsty",NA,NA,"Pas cukov","Asil köpek baligi",NA,"כרישון כוכבני","Glatthai","звездчатая кунья акула","Акула куняча зірчаста",NA,NA,NA,"žvaigždėtasis kiauniaryklis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus mustelus","Gemeiner S�dlicher Glatthai, Glatthai, Grauer Glatthai, Hundshai, Mittelmeer-Glatthai",NA,"",NA,"Glathaj","Glatthai",NA,"Common Smoothhound","Chien de mer",NA,NA,"Palombo","Gladde haai",NA,NA,"Caneja","Boca blanca","Palomb","Glatthaj",NA,"Morgwn Serennog","Kärppähai",NA,NA,"Mazzola","Mustel siwy a. siwosz","Mustel","navadni morski pes","Pas cukov","Köpek baligi","matel",NA,"Glatthai",NA,NA,NA,NA,NA,"europinis kiauniaryklis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mustelus punctulatus","Gepunkteter Glatthai, Schwarzpunkt-Glatthai",NA,"",NA,NA,"Gepunkteter Glatthai","Στικτογαλέος","Blackspotted smooth-hound","Emissole Pointillee",NA,NA,"Palombo punteggiato",NA,NA,NA,NA,"Musola Pimienta",NA,NA,NA,NA,"Pilkkuhai",NA,NA,NA,"mustel śródziemnomorski",NA,NA,"Pas","Köpek",NA,NA,NA,"средиземноморская кунья акула","Акула куняча чорноцяткова",NA,NA,NA,"viduržemio jūros kiauniaryklis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mytillus galloprovincialis","N/A",NA,"","musclo de roca",NA,"Blaubartmuschel","Μύδι","Galician mussel","moule de provence",NA,NA,"cozza","Middellandse-Zeemossel",NA,NA,NA,"mejillón mediterráneo","midhja e zezë",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mediteranska klapavica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ムラサキイガイ",NA,NA,NA,"mexillón",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nephrops norvegicus","Buchstabenkrebs,Kaisergranat, Kaiserhummer, Norwegische hummer",NA,"Fish4life","escamarlà","Bogstavhummer","Buchstabenkrebs","karavida","Dublin Bay lobster","Langoustine (La), Arganalle (L'), Arganello, Boga avant, Cacahouète (La), Crevette à grande pince (La), Néphrose (La), Scampo (Le)",NA,NA,"scampo","Langoestine","bokstavhummar","sjøkreps","lagostim","cigala","gaforre norvegjeze","havskrafta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yengec","Grilhed-sabl, Grilled-trez",NA,"bokstavhummer",NA,NA,"azeffane","Zigala (La)",NA,NA,NA,NA,"letur humar",NA,NA,"Escamarlà, Llagostina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oblada melanurus","Brandbasse, Brandbrasse",NA,"Fish4life",NA,NA,"Brandbrasse","Μελανούρι","Saddled seabream","Oblade",NA,NA,"Occhiata","zadelzeebrasem",NA,NA,"Dobradiça","Doblada","Melanur","Oblada",NA,NA,NA,NA,NA,"Kahlija","Oblada",NA,"Ærnorepka","Usata","Melanurya",NA,"אובלד שחור-זנב",NA,"Облада","Облада",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ostrea edulis","N/A",NA,"","ostra comuna","Europæisk østers","Europäische Auster","Στρείδι","Edible oyster","belon",NA,NA,"ostrica comune","Europese platte oester","østers","østers",NA,"ostra común","gurca","europeiskt ostron",NA,NA,NA,NA,NA,NA,NA,NA,"navadna ostriga",NA,"istiridye",NA,NA,"østers",NA,"Устриця звичайна",NA,NA,NA,"paprastoji austrė",NA,NA,NA,NA,NA,NA,"osttar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagellus acarne","Achselfleckbrasse, Meerbrasse",NA,"Fish4life","besuc blanc","Akarnaisk blankesten","Achselfleckbrasse","Μουσμούλι","Auxillary seabream","Pageot acarne",NA,NA,"Pagello bastardo","Spaanse zeebrasem",NA,NA,"Besugo","Aligote","Mormuri i eger","Pagell",NA,"Merfogiaid Sbaen","Pagelli",NA,NA,"Bazuga","Morlesz krwisty","Pagel auriu","Divji ribon","Arbun kapilic","Kirma mercan",NA,"ורדית קמורה",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagellus bogaraveo","Blaubarsch, Graubarsch, Meerbrasse, Nordische Meerbrasse, Nordischer Meerbrassen, Seekarpfen",NA,"Fish4life","besuc de fonera","Almindelig blankesten","Graubarsch",NA,"Blackspot seabream","Dorade rose",NA,"An deargán","Rovello","Spaanse zeebrasem","flekkpagell","flekkpagell","Besugo","Besugo","Spalce e kuqe","Fläckpagell",NA,"Merfogiaid Coch","Pikkupagelli",NA,NA,"Bazuga","Morlesz szkarlatny","Pagel argintiu","Okati ribon","Ljuskavke",NA,"lagadec",NA,"Flekkpagell",NA,NA,NA,"bishigua",NA,NA,NA,NA,"Kólguflekkur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagellus erythrinus","Rotbrasse, Rotbrassen",NA,"Fish4life","pagell","Rød blankesten","Rotbrasse","Λυθρίνι","Becker","Pageau",NA,NA,"Fragolino","Zeebrasem","raudpagell","rødpagell","Bica","Breca","Pagri","Röd pagell",NA,"Pandorâu","Punapagelli",NA,NA,"Pagella","Morlesz szkarlatny",NA,"Ribon","Arbun","Mandagöz mercan",NA,"ורדית שישנית","Pagell","Пагр красный","Пагель червоний",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
