"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index"
5972003,"Homarus gammarus (Linnaeus, 1758)","Homarus gammarus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Arthropoda","Decapoda","Nephropidae","Homarus","Homarus gammarus",1,54,229,637,4523,5972002,5972003,"Malacostraca",NA,NA,"Homarus gammarus",40
5216239,"Lamna nasus (Bonnaterre, 1788)","Lamna nasus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Lamniformes","Lamnidae","Lamna","Lamna nasus",1,44,121,885,5888,2418232,5216239,"Elasmobranchii",NA,NA,"Lamna nasus",41
2392647,"Lithognathus mormyrus (Linnaeus, 1758)","Lithognathus mormyrus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Lithognathus","Lithognathus mormyrus",1,44,NA,587,5068,2392645,2392647,NA,NA,NA,"Lithognathus mormyrus",42
4374632,"Lithophaga lithophaga (Linnaeus, 1758)","Lithophaga lithophaga","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Mytilida","Mytilidae","Lithophaga","Lithophaga lithophaga",1,52,137,9330464,3476,2285722,4374632,"Bivalvia",NA,NA,"Lithophaga lithophaga",43
2290374,"Loligo vulgaris Lamarck, 1798","Loligo vulgaris","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Myopsida","Loliginidae","Loligo","Loligo vulgaris",1,52,136,7954962,3431,2289182,2290374,"Cephalopoda",NA,NA,"Loligo vulgaris",44
2415643,"Merluccius merluccius (Linnaeus, 1758)","Merluccius merluccius","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius",1,44,NA,549,3703,2415629,2415643,NA,NA,NA,"Merluccius merluccius",45
2415777,"Micromesistius poutassou (Risso, 1827)","Micromesistius poutassou","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou",1,44,NA,549,3701,2415773,2415777,NA,NA,NA,"Micromesistius poutassou",46
5727404,"Mitra zonata Marryat, 1819","Mitra zonata","SPECIES","SYNONYM",98,"EXACT","Animalia","Mollusca","Neogastropoda","Mitridae","Episcomitra","Episcomitra zonata",1,52,225,982,6773,4584502,9767835,"Gastropoda",9767835,NA,"Mitra zonata",47
2285653,"Modiolus barbatus (Linnaeus, 1758)","Modiolus barbatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Mytilida","Mytilidae","Modiolus","Modiolus barbatus",1,52,137,9330464,3476,2285647,2285653,"Bivalvia",NA,NA,"Modiolus barbatus",48
8189568,"Mugil cephalus Linnaeus, 1758","Mugil cephalus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",1,44,NA,1067,8473,7822511,8189568,NA,NA,NA,"Mugil cephalus",49
4284897,"Mullus barbatus Linnaeus, 1758","Mullus barbatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Mullidae","Mullus","Mullus barbatus",1,44,NA,587,4287,2396859,4284897,NA,NA,NA,"Mullus barbatus",50
2396862,"Mullus surmuletus Linnaeus, 1758","Mullus surmuletus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Mullidae","Mullus","Mullus surmuletus",1,44,NA,587,4287,2396859,2396862,NA,NA,NA,"Mullus surmuletus",51
2418315,"Mustelus asterias Cloquet, 1819","Mustelus asterias","SPECIES","ACCEPTED",98,"EXACT","Animalia","Chordata","Carcharhiniformes","Triakidae","Mustelus","Mustelus asterias",1,44,121,887,2206,9530947,2418315,"Elasmobranchii",NA,NA,"Mustelus asterias",52
2418313,"Mustelus mustelus (Linnaeus, 1758)","Mustelus mustelus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Carcharhiniformes","Triakidae","Mustelus","Mustelus mustelus",1,44,121,887,2206,9530947,2418313,"Elasmobranchii",NA,NA,"Mustelus mustelus",53
2418361,"Mustelus punctulatus Risso, 1827","Mustelus punctulatus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Carcharhiniformes","Triakidae","Mustelus","Mustelus punctulatus",1,44,121,887,2206,9530947,2418361,"Elasmobranchii",NA,NA,"Mustelus punctulatus",54
2285683,"Mytilus galloprovincialis Lamarck, 1819","Mytilus galloprovincialis","SPECIES","ACCEPTED",85,"FUZZY","Animalia","Mollusca","Mytilida","Mytilidae","Mytilus","Mytilus galloprovincialis",1,52,137,9330464,3476,2285679,2285683,"Bivalvia",NA,NA,"Mytillus galloprovincialis",55
2226962,"Nephrops norvegicus (Linnaeus, 1758)","Nephrops norvegicus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Arthropoda","Decapoda","Nephropidae","Nephrops","Nephrops norvegicus",1,54,229,637,4523,2226961,2226962,"Malacostraca",NA,NA,"Nephrops norvegicus",56
2392603,"Oblada melanura (Linnaeus, 1758)","Oblada melanura","SPECIES","ACCEPTED",96,"FUZZY","Animalia","Chordata","Perciformes","Sparidae","Oblada","Oblada melanura",1,44,NA,587,5068,2392602,2392603,NA,NA,NA,"Oblada melanurus",57
2286060,"Ostrea edulis Linnaeus, 1758","Ostrea edulis","SPECIES","ACCEPTED",99,"EXACT","Animalia","Mollusca","Ostreida","Ostreidae","Ostrea","Ostrea edulis",1,52,137,9485611,6871,2286059,2286060,"Bivalvia",NA,NA,"Ostrea edulis",58
2392566,"Pagellus acarne (Risso, 1827)","Pagellus acarne","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Pagellus","Pagellus acarne",1,44,NA,587,5068,2392549,2392566,NA,NA,NA,"Pagellus acarne",59
2392557,"Pagellus bogaraveo (Brünnich, 1768)","Pagellus bogaraveo","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Pagellus","Pagellus bogaraveo",1,44,NA,587,5068,2392549,2392557,NA,NA,NA,"Pagellus bogaraveo",60
2392554,"Pagellus erythrinus (Linnaeus, 1758)","Pagellus erythrinus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Pagellus","Pagellus erythrinus",1,44,NA,587,5068,2392549,2392554,NA,NA,NA,"Pagellus erythrinus",61
5210913,"Pagrus pagrus (Linnaeus, 1758)","Pagrus pagrus","SPECIES","ACCEPTED",99,"EXACT","Animalia","Chordata","Perciformes","Sparidae","Pagrus","Pagrus pagrus",1,44,NA,587,5068,2374952,5210913,NA,NA,NA,"Pagrus pagrus",62
